Douglas Adams	Q42
Felice Picano	Q1402991
S. J. Rozan	Q1396654
Kenjirō Tokutomi	Q1396764
John B. Keane	Q1398498
Michael Thomas	Q1649511
Louis Auchincloss	Q1621598
Tony Rothman	Q1628278
Craig Rice	Q1639201
Ross Thomas	Q1660382
Irene Dische	Q1672502
Alfred Hayes	Q1675887
J. Meade Falkner	Q1676368
J. Robert King	Q1676386
John Galt	Q1642740
Robert Stone	Q1633025
Peter Carter	Q1653062
Hideo Okuda	Q1617365
Rachel Trezise	Q1637205
Kim Edwards	Q1642211
Ian Ogilvy	Q1647123
Alistair MacLeod	Q1659739
Christopher Reich	Q1612773
Homer Hickam	Q1626025
Madison Smartt Bell	Q1635919
Ingeborg Day	Q1662872
Nathan Englander	Q1655990
Jacqueline West	Q1677836
Rebecca Wells	Q1619374
Erwin Mortier	Q1620233
Alex Berenson	Q1622795
Ingrid Rimland	Q1663385
Warren Murphy	Q1669437
James Twining	Q1671867
Hisaki Matsuura	Q1620636
H. L. Gold	Q1627887
Vera Caspary	Q1645179
John Rechy	Q1648830
Laurent Seksik	Q1648986
Jean Rolin	Q1621326
Hiroyuki Itsuki	Q1620313
Jack Cady	Q1676989
Richard North Patterson	Q1678883
Fritjof Capra	Q84258
Eduard Hanslick	Q84246
Johannes Mario Simmel	Q84208
Heinrich Harrer	Q84211
Hermann Broch	Q84150
Ivan Illich	Q84186
Ludwig von Mises	Q84233
Peter Drucker	Q84238
Hervé Guibert	Q84153
Barry Sadler	Q809093
William Inge	Q982880
Cecil Day-Lewis	Q954383
Noboru Yamaguchi	Q982575
Bayard Taylor	Q812105
R. A. Lafferty	Q982489
Sabahattin Ali	Q982838
Sydney, Lady Morgan	Q459275
Ricardo Menéndez Salmón	Q954378
Ben Aaronovitch	Q816409
Ben Marcus	Q816553
Mark Harris	Q1413561
Stewart Home	Q1422563
Alec Coppel	Q1437441
Miwako Daira	Q1409989
Deborah J. Ross	Q1419759
Robert Duncan Milne	Q1419656
Tim Pears	Q1420273
Frances Itani	Q1440805
Richard Cumberland	Q1439360
Steven Gould	Q1434925
Frank Bunker Gilbreth, Jr.	Q1443018
Jeff Mariotte	Q1412142
Vern Sneider	Q1409570
Jennifer Lee Carrell	Q1407898
Richard Martin Stern	Q1416142
Jean-Louis Curtis	Q1435287
Spider Robinson	Q1443070
Frank D. Gilroy	Q1408040
Maria von Trapp	Q93624
Joy Adamson	Q93645
Marie von Ebner-Eschenbach	Q93525
Thomas Brezina	Q93610
Michael D. C. Drout	Q93634
Peter Rosegger	Q93841
Cecil Bødker	Q93714
Władysław Tarnowski	Q93817
Karen Wynn Fonstad	Q93815
Christine Nöstlinger	Q93652
Verlyn Flieger	Q93761
Emil von Schoenaich-Carolath	Q99689
James Crumley	Q1680227
Tami Hoag	Q1683201
Jerome Charyn	Q1687729
James McGee	Q1680792
James Bacque	Q1679999
Martin H. Greenberg	Q1680150
Jean-Bernard Pouy	Q1684705
James Anthony Froude	Q1679958
Navid Kermani	Q99728
Max Mendheim	Q100289
Jean-Michel Guenassia	Q1685081
Tadeusz Borowski	Q100005
James Justinian Morier	Q1680654
James Robert Baker	Q1681046
Holger Afflerbach	Q99818
James Elroy Flecker	Q1680343
Otto Böckel	Q100136
Max Buchon	Q1683172
Jerry Sohl	Q1687871
Shizuka Ijūin	Q1453544
Frank De Felitta	Q1443129
Marcus Clarke	Q1481362
Frank Conroy	Q1443099
Katherine MacLean	Q1443787
Reif Larsen	Q1458612
Jonas Hassen Khemiri	Q1475327
Melville Davisson Post	Q1475826
Terry Bisson	Q1444345
Tom Tryon	Q1448930
Anton Schlossar	Q593844
Frederick Barthelme	Q1452794
Nicolas Dickner	Q1468786
Tsuneari Fukuda	Q1473365
Ovid Demaris	Q1468771
Seiichi Funahashi	Q1474002
Frank Yerby	Q1444495
Frederick Buechner	Q1452807
Ann M. Martin	Q1446683
Frederick Chamier	Q1452818
Rachel Field	Q1453687
Alfred Vogel	Q115980
Diebold Schilling the Elder	Q115863
Silvia Rannamaa	Q116228
Abraham Emanuel Fröhlich	Q115992
Jan Trefulka	Q116013
Fritz Angst	Q116109
Don Miguel Ruiz	Q116177
Arno Gruen	Q115987
Antoni Edward Odyniec	Q597298
Antoni Maria Alcover i Sureda	Q597732
Ralph Erskine	Q598130
Antonia Michaelis	Q598428
Anton Wilhelm Christian Fink	Q595473
Kåre Holt	Q596129
Antonia Palacios	Q598433
Antoni Słonimski	Q598050
Antoni Fiter i Rossell	Q597309
William Turton	Q599800
Martin Schäuble	Q100443
Heinrich Sander	Q108817
Friedrich Fiedler	Q108825
Mareike Krügel	Q100537
Max Kretzer	Q108847
Anna Ritter	Q109033
Clément Marot	Q108926
Michael Ranft	Q100457
Heinrich Rohlfs	Q108823
Dagobert von Gerhardt	Q109030
Viktor Dyk	Q109067
Hannes Stein	Q101723
Jesco von Puttkamer	Q101715
Henriette Goldschmidt	Q101946
Robert Foster	Q93906
Charles van Lerberghe	Q93871
Kurt von Tepper-Laski	Q101660
Gregory VIII	Q101866
Ernst Wichert	Q102036
Gary Friedrich	Q93938
Benoit Mandelbrot	Q101740
Alwin Schultz	Q102022
Tove Jansson	Q102071
Jochen von Lang	Q101700
Wilhelm Gottlieb Becker	Q101860
Wolfgang Schreyer	Q102012
Herbert Asmodi	Q102148
Buckminster Fuller	Q102289
Karl-Heinz Tuschel	Q102255
Ferdinando Petruccelli della Gattina	Q93862
Konrad von Heimesfurt	Q102082
Tim Bowler	Q600261
Phil Knight	Q557305
Li Zhichang	Q600207
Allan Pease	Q556937
Simon Carmiggelt	Q560649
Hassan Blasim	Q601527
Mark Levin	Q557699
Tufan Miñnullin	Q559129
Douglas B. Lenat	Q559334
Antonín Jaroslav Klose	Q608416
César Tiempo	Q607948
Jessica Valenti	Q556767
Antonio de Trueba	Q605530
Dovid Katz	Q557719
Antonio Cornejo Polar	Q601698
Ida Boy-Ed	Q109471
Wilhelm Busch	Q109540
Christlob Mylius	Q109405
Theodor Birt	Q109496
Karl Theodor Gaedertz	Q109124
Argula von Grumbach	Q109277
Adam of Bremen	Q109244
Wolfgang Herrndorf	Q109180
Sten Nadolny	Q106018
Olga Grjasnowa	Q106083
Samuel Pepys	Q106143
Carl Stephenson	Q105953
Owen Johnson	Q1598125
Charlotte Worgitzky	Q106305
Peter V. Brett	Q1593961
Samuel Charters	Q1584951
Ferdinand Justi	Q106015
Bodo Schäfer	Q106272
Hamilton Basso	Q1573454
Gerald Heard	Q1606714
Melissa Marr	Q1606880
Henry S. Whitehead	Q1607236
Norbert Bolz	Q106265
Bele Regis Notarius	Q567639
Henry Morton Robinson	Q1607063
Hugo Delff	Q98862
Viktor Blüthgen	Q98925
Alex Wedding	Q105954
Harriette Simpson Arnow	Q1586159
Annika Scheffel	Q567143
Alexander Tille	Q106022
Alice Salomon	Q106209
Anne Plichota	Q565706
Ruth Picardie	Q569151
Harold Frederic	Q1585832
Stewart O'Nan	Q1585875
Alice Tisdale Hobart	Q1594680
Rudolf Fischer	Q102452
Eduard Grisebach	Q98172
Friedrich Dernburg	Q98173
Hans Schmidt Petersen	Q98458
Wilhelm Meyer-Förster	Q98376
Jaroslav Seifert	Q102483
Snorri Sturluson	Q102323
Thor Kunkel	Q102472
Julius Lehr	Q102542
Margarete Böhme	Q98639
Anna Wambrechtsamer	Q563557
Bill Johnson	Q720797
Balázs Lengyel	Q659061
Vytautas Petkevičius	Q692182
Ma Rong	Q657368
Felipe Calderón	Q562568
Arkadi Adamov	Q658341
Armando	Q678099
Johann Gaudenz von Salis-Seewis	Q683660
Armin Petras	Q688146
Jay McInerney	Q721578
Osyp Makovei	Q687042
Lucebert	Q689279
Mark Billingham	Q720782
Peter H. Gilmore	Q561515
Chares of Mytilene	Q674788
Takaaki Yoshimoto	Q676364
Graham Joyce	Q721345
Codrin Țapu	Q675896
Richard John Neuhaus	Q691798
Magnus von Wright	Q692383
Raymond Benson	Q721999
Demir Özlü	Q668833
Arthur Japin	Q561789
Johannes Anker Larsen	Q562939
Peter Nilson	Q563361
Jan Lam	Q673283
Raymond Devos	Q686316
Armin Fuhrer	Q687587
Armin Risi	Q688178
Roger Stern	Q721268
José Craveirinha	Q563131
James Kelman	Q720806
Zoë Jenny	Q116676
John Hay	Q117101
Meinrad Inglin	Q116400
Oppian	Q116508
Franz Kurowski	Q110971
Anne Cuneo	Q116469
Oswald Heer	Q117021
Friedrich von Hurter	Q117192
Max Pulver	Q116515
Vicente Huidobro	Q117018
Yi Mun-yol	Q116288
Marc Monnier	Q117197
Wallace Wattles	Q117201
Boris Parygin	Q116789
Mohammad-Amin Riahi	Q117019
Heinrich Fraenkel	Q110733
James Guillaume	Q116617
Jürg Federspiel	Q116855
Daniel Odier	Q117053
William Boyd	Q722103
Julie Kagawa	Q723439
Robert Abernathy	Q723591
Paul Nizan	Q723621
Hiroshi Noma	Q724874
Geoffrey Trease	Q725421
Yoram Kaniuk	Q722202
Fariba Vafi	Q723354
James Kenneth Morrow	Q725065
Keith Laumer	Q724395
James Branch Cabell	Q723374
Robert L. Fish	Q723159
John Braine	Q725344
Johann Christian Krüger	Q109643
Karl Müller	Q109683
Manuel Rojas	Q1891716
Sam Savage	Q1886988
R. J. Ellory	Q1891196
Marcy Dermansky	Q1894433
Maria Firmina dos Reis	Q1895866
Mark Anthony	Q1899911
Manil Suri	Q1890404
Margaret Elphinstone	Q1894829
Mark Lindquist	Q1900217
Todd Strasser	Q1896281
Mary Novik	Q1906355
Matthew Tobin Anderson	Q1909611
Marcus Sakey	Q1894353
Margaret Deland	Q1894814
Matthew Sharpe	Q1909586
Matt Cohen	Q1909151
Marçal Aquino	Q1906559
Matthew Stover	Q1909623
Cornelius Nepos	Q109594
Malla Nunn	Q1887476
Yone Noguchi	Q1899252
Matthew J. Costello	Q1909537
Jean Aicard	Q726967
Nicholas Evans	Q726194
Caryl Chessman	Q725908
Chad Oliver	Q726865
J.-H. Rosny aîné	Q725475
Jimmy Buffett	Q726071
Carl Hiaasen	Q726177
Jonathan Carroll	Q727079
Alexandre Bisson	Q725445
Oswald Chambers	Q705722
David Avidan	Q706526
Herbert Stein	Q703878
Konstantin Fedin	Q704015
Arnold Braß	Q694928
Stanisław Grzesiuk	Q698200
John Wimber	Q705726
Igor Bauersima	Q693535
Carl Arnold Schloenbach	Q696113
Dževad Karahasan	Q700600
Jan Fabre	Q702439
Tony Kushner	Q704433
Joseph M. Scriven	Q705227
Beppe Wolgers	Q706560
Froben Christopher of Zimmern	Q111277
Hanns von Gumppenberg	Q111375
Karl Bunje	Q111251
Arnon Grunberg	Q983233
John Knowles	Q983113
David Anthony Durham	Q983109
Stephen Hunter	Q983243
Matthew Reilly	Q983431
Karl Heinrich von Bogatzky	Q708533
Earl Derr Biggers	Q983421
Michel Faber	Q983249
Ward Churchill	Q707156
Alasdair Gray	Q729121
Stanley Middleton	Q727856
Juan José Millás	Q727416
Sergio Bambaren	Q732128
Mulk Raj Anand	Q732434
Edmund White	Q729117
Jô Soares	Q732513
Sherman Alexie	Q727331
Clemence Dane	Q728558
Nicholas Shakespeare	Q731036
Tierno Monénembo	Q732550
Frances Brooke	Q729541
Faith Hunter	Q729951
Joaquim Manuel de Macedo	Q727148
Georges Eekhoud	Q728405
Eric Van Lustbader	Q730116
Conrad Richter	Q732568
Michael Walsh	Q1929714
Richard Fariña	Q1931654
Nam Le	Q1934886
Melissa Scott	Q1919410
Robert Arthur	Q1937199
Michael Rosen	Q1929063
Jerry B. Jenkins	Q1910044
Michelle de Kretser	Q1931175
Max Barry	Q1912232
Michael de Larrabeiti	Q1929962
Meridel Le Sueur	Q1921674
Nicholson Baker	Q1929421
Freya North	Q1927519
Alison Goodman	Q1921661
Michael Kurland	Q1928341
Michael Nava	Q1928721
Charles-Louis Philippe	Q732618
Albert Memmi	Q733225
Nicolas-Edme Rétif	Q732729
Hubert Aquin	Q732980
Claude Prosper Jolyot de Crébillon	Q733161
David Storey	Q733417
Michel Zevaco	Q733547
Allen Drury	Q733850
Philippe Djian	Q733112
Eugène Dabit	Q733235
Gamal El-Ghitani	Q734018
Dan Franck	Q732668
Yusuf Idris	Q733393
Alfredo Bryce Echenique	Q734092
Guillaume Musso	Q733151
Reinhart Heinrich	Q99265
Ferdinand Sander	Q103313
Josef Martin Bauer	Q99470
Kurt Pinthus	Q103296
Wolfgang Golther	Q103583
Philipp Humm	Q103848
Wolfgang Schwenke	Q103843
Paul I	Q103404
Germaine Greer	Q103591
Ernst Peter Fischer	Q103720
Karl Siegfried Döhring	Q103704
Karoline Louise Brachmann	Q103564
Blake Charlton	Q1969701
Patrick Robinson	Q1970656
James Brady	Q1963005
Pratibha Ray	Q1953018
Sara Coleridge	Q1960565
Alpheus Hyatt Verrill	Q1960928
Paul Stewart	Q1971168
Kaoru Kurimoto	Q1942999
Toshio Shimao	Q1968679
Mike Gold	Q1964117
Monte Cook	Q1945820
Morton Freedgood	Q1948742
Taku Mayumura	Q1956342
Maria Susanna Cummins	Q1960665
Ted Dekker	Q1942017
Gregory Maguire	Q736137
Norman Maclean	Q736123
David Drake	Q736343
John Crowley	Q736447
James Sallis	Q736143
N. Scott Momaday	Q736570
Michael Shaara	Q739385
Jeff Noon	Q737570
Shūji Terayama	Q739129
Jacques Perry	Q739555
Gentry Lee	Q741508
Arthur Phillips	Q738911
Joseph Joffo	Q740374
Gabriel Chevallier	Q739973
Harold Q. Masur	Q738248
Anne Hébert	Q737768
Walter Tevis	Q740928
Aleksandar Hemon	Q738114
Peter Watts	Q983672
Narcís Oller	Q999904
Bunjūrō Nakayama	Q1009504
Jeff VanderMeer	Q1038440
Lisa Gardner	Q1028373
Richard Leigh	Q1032009
Caleb Carr	Q1026532
S. J. Watson	Q984352
Ichirō Ōkouchi	Q985992
James Purdy	Q984415
Bruce Manning	Q991720
Elizabeth Bear	Q1029497
G. C. Edmondson	Q1006918
Carl Frode Tiller	Q1038200
Ishmael Reed	Q983544
K-Ske Hasegawa	Q994434
Shikitei Sanba	Q1032912
Oyuki Konno	Q1018468
Paul Rudnick	Q984452
Scott William Carter	Q1028359
Janet Kagan	Q1029714
Fred Wah	Q1031167
Ned Beauman	Q111619
William Julius Wilson	Q111536
Arthur Marx	Q710580
Luo Yin	Q711778
Claude Guylouis	Q111991
Ulrich of Richenthal	Q111865
Claudia Schreiber	Q111625
Andrei Soldatov	Q111982
Matthias Matussek	Q111890
Mathias Bröckers	Q111981
Herbert Friedrich	Q112087
Arthur Hübscher	Q709953
Pontus Wikner	Q711658
John Twelve Hawks	Q711746
Philippe Delerm	Q741671
Pierre Schoendoerffer	Q742622
Colin Greenland	Q742918
Leslie Charteris	Q743079
Massimo Bontempelli	Q741862
Douglas Preston	Q742632
Carol Goodman	Q1044175
Carolyn Keene	Q1044648
Kōda Rohan	Q1038466
Carol Drinkwater	Q1044165
Michael Lentz	Q109821
Annette Pehnt	Q110051
Ned Vizzini	Q1973897
Richard Mason	Q1980533
Hans-Jürgen Heinrichs	Q109989
Wilhelm Jacoby	Q110019
Manly Wade Wellman	Q1981210
Heinrich Kruse	Q109712
Simon Armitage	Q1981093
Allan Folsom	Q1985394
Stefan Wul	Q1975019
Robert Schweichel	Q110165
Donald Goines	Q1982856
Dimitar Dimov	Q712741
Alan Ayckbourn	Q712848
Reki Kawahara	Q1047108
Catherine Crook de Camp	Q1050951
Yoshikazu Yasuhiko	Q1049526
Kyōtarō Nishimura	Q1051441
Raffaele La Capria	Q1054316
Atsuko Asano	Q1056256
Mizuki Nomura	Q1053204
Hideo Yokoyama	Q1053737
Shuichi Yoshida	Q1053551
Ryohgo Narita	Q1049096
Nino Ricci	Q1054177
Donald Davidson	Q1239798
Margaret Walker	Q1236772
Henry Neville	Q1238565
Champfleury	Q744488
Jean-Louis Fournier	Q1236131
Harold Norse	Q1230753
Paolo Mantegazza	Q1235251
Françoise Mallet-Joris	Q1238593
Alain Absire	Q1237807
Jules de Goncourt	Q1234248
John Griesemer	Q1235215
Claude Ollier	Q1238584
Ernest Dowson	Q1231493
Shirley Hazzard	Q1230809
Roger Grenier	Q1237856
Olivier Rolin	Q1238602
Frank Cottrell-Boyce	Q1233018
James Gould Cozzens	Q1238811
Rebecca Moesta	Q1230637
Pascal Lainé	Q1230705
Alfian Sa'at	Q1237904
Machi Tawara	Q1240077
Donald Ray Pollock	Q1240267
Chad Harbach	Q1058570
Hiro Arikawa	Q1059911
Kyōka Izumi	Q1064272
Masashi Sada	Q1059718
Charles Burns	Q1063855
Charles Dantzig	Q1064052
Daniel Handler	Q1060636
Shoji Gatoh	Q1062289
Charles Busch	Q1063851
James Patrick Hogan	Q1061225
Keiichi Sigsawa	Q1062830
Juan Arolas	Q713816
Artur Landsberger	Q714568
Paul Sweezy	Q715127
Władysław Ludwik Anczyc	Q713375
William Francis Butler	Q713249
Ebenezer Elliott	Q715338
Dinko Šimunović	Q712853
Ulf Lundell	Q713270
József Kossics	Q715928
Felix Timmermans	Q713284
Donna Jo Napoli	Q1241759
Rose Franken	Q1242613
Federigo Tozzi	Q1245508
Laurent Gaudé	Q1245984
John Toland	Q1246921
Norman Douglas	Q1243973
Donald Wandrei	Q1240467
Sabine Baring-Gould	Q1242472
Sebastiano Vassalli	Q1243368
Alice McDermott	Q1242948
Edward Eggleston	Q1246814
Plum Sykes	Q1243147
Julia Peterkin	Q1246353
Lin Carter	Q1248054
Julius von Soden	Q103911
John Neal	Q2345564
Luís Fernando Veríssimo	Q2347007
Pierre-Marie-Charles de Bernard du Grail de la Villette	Q2349298
Patrícia Melo	Q2356262
DuBose Heyward	Q2382900
Elaine Cunningham	Q2372229
Kathleen Winsor	Q2342652
Menotti Del Picchia	Q2355375
Patrick Carman	Q2377808
Linda Grant	Q2348632
Iraj Pezeshkzad	Q2388709
Georg Wilhelm Otto von Ries	Q104066
Patrick Larkin	Q2358558
Sterling E. Lanier	Q2345563
Søren Sveistrup	Q2380228
Jason Dark	Q104029
Martin Seel	Q104022
David H. Keller	Q2365739
Marcel Moreau	Q2386112
Henri de Bornier	Q2340976
Jean-Baptiste Del Amo	Q2347437
Katarzyna Grochola	Q2348055
Sean A. Moore	Q2362476
John C. Hocking	Q2368005
Marie Brennan	Q2357010
Mildred B. Davis	Q2356865
George Saunders	Q1251926
Stella Gibbons	Q1252645
Douglas Reeman	Q1252469
Doug Marlette	Q1251800
Slobodan Novak	Q1253923
John Jakes	Q1258959
Charles Osborne	Q1065689
Sutan Takdir Alisjahbana	Q1755191
Richard Harland	Q1771570
Masahiko Shimada	Q1773143
Trenton Lee Stewart	Q1773063
William March	Q1775876
Charles Frazier	Q1064454
Charles Portis	Q1065817
Charles R. Johnson	Q1065901
Charles Langbridge Morgan	Q1065287
Greg Rucka	Q1759151
Leon Garfield	Q1760291
Letitia Elizabeth Landon	Q1760518
Dan Fante	Q1769247
Frances Mayes	Q1774177
Thomas Gifford	Q1754402
Charles Plisnier	Q1065801
Manuel Zeno Gandía	Q1777479
Dorothy B. Hughes	Q1778440
Mark Clifton	Q1760899
Fouad Laroui	Q1766736
Elisabeth Dored	Q1777630
Steven Brust	Q1780503
Charles L. Fontenay	Q1065212
Ahlam Mosteghanemi	Q1772341
Charles Gayarré	Q1064513
Ernest K. Gann	Q1779816
Eduard Bornhöhe	Q717712
Toon Tellegen	Q719671
Wilhelm Scherer	Q112136
Arvid Ahnfelt	Q717126
Leopold Tyrmand	Q718495
Samuel Griswold Goodrich	Q719978
Tomo Križnar	Q717534
Jacques-Pierre Amette	Q717736
Pierre La Mure	Q718445
Juan Nicasio Gallego	Q720492
Heiti Talvik	Q717747
Patrick Hamilton	Q1278407
Hōjō Tamio	Q1259446
Garry Disher	Q1267116
Herbert Yardley	Q1269275
Avi	Q1273533
Jean Toomer	Q1277467
Henry Mackenzie	Q1276720
Jurji Zaydan	Q1262212
Jim Dodge	Q1277990
Howard Sturgis	Q1262216
Dyan Sheldon	Q1268581
E. Lynn Harris	Q1273517
Vladan Desnica	Q1275257
Barbara Kingsolver	Q1264643
Robert Erskine Childers	Q1270441
Matsutarō Kawaguchi	Q1272457
Herbert Brean	Q1268311
Tom Hood	Q1270673
Sam Moskowitz	Q1276490
John McGahern	Q1277641
Martin Caidin	Q1277983
Eduardas Mieželaitis	Q738623
Leo Ågren	Q742599
Ian Hamilton	Q743543
August Schnezler	Q763871
Ludwig Senfft von Pilsach	Q761203
Lane Smith	Q740939
August Peters	Q763378
Henry Leavitt Ellsworth	Q738941
Paul Veyne	Q739537
Eyvindr skáldaspillir	Q741327
Klaus Roehler	Q110521
Paul van Ostaijen	Q739190
Tadeusz Peiper	Q740816
August Niemann	Q764659
August Daniel von Binzer	Q761087
Nikolai Minsky	Q741969
Alexander Kazbegi	Q741373
Harold McGee	Q745396
Wilhelm Hegeler	Q110643
Teofil Lenartowicz	Q739286
Elfie Donnelly	Q749027
Willy Russell	Q761466
Todd McCaffrey	Q2438479
Susanne Röckel	Q110507
August Jugler	Q762188
August Sperl	Q764053
Takebe Ayatari	Q2389395
Shōtarō Ikenami	Q2392807
Tetsuo Miura	Q2406824
Will Adams	Q2415277
Alexandre Moix	Q2394951
Ryukishi07	Q2413886
Robert B. Sherman	Q2419093
John Birmingham	Q2408506
Takehiro Irokawa	Q2389416
Richmal Crompton	Q2402392
Terence Blacker	Q2404457
Margaret Oliphant	Q2415217
Nelson Rodrigues	Q2411958
Gustave Le Rouge	Q2409143
Henry Denker	Q2397237
Sami Lopakka	Q2422859
Thomas N. Scortia	Q2426243
Jonathan Ames	Q2390663
Jane Yolen	Q2394387
William Rotsler	Q2404462
Theodore Winthrop	Q2418747
Sachchidananda Vatsyayan	Q2420084
Jackie Collins	Q1837775
Mary Hays	Q1797831
Kate Cann	Q1822255
Ben Lerner	Q1836356
Cristovam Buarque	Q1789919
L. E. Modesitt, Jr.	Q1797771
Nina Kiriki Hoffman	Q1803115
Michelle Paver	Q1808983
A. I. Bezzerides	Q1786639
Erling Jepsen	Q1788316
Franklin Távora	Q1791060
Masao Kume	Q1791984
Paulo Francis	Q1797294
Loys Masson	Q1805768
Lev Raphael	Q1821699
Laurence Stallings	Q1808024
Linwood Barclay	Q1827131
Lionel Trilling	Q1827287
Lisa St Aubin de Terán	Q1827788
L. Neil Smith	Q1797785
Robert Barnard	Q1788811
Orígenes Lessa	Q1797231
Allan Gurganus	Q1805285
Henry Williamson	Q1278677
W. R. Burnett	Q1287768
Henry Green	Q1285562
Ed Ricketts	Q1282471
Eden Phillpotts	Q1283557
Edmund Cooper	Q1286138
Robert Coover	Q1282338
Edorta Jimenez	Q1287502
Eden Robinson	Q1283560
Edgar Pangborn	Q1284085
Lydia Davis	Q1280035
Owen Wister	Q1281119
Henry Roth	Q1285419
Edmond Hamilton	Q1285626
Ernest William Hornung	Q1288644
Felix Mitterer	Q112527
Ernst Weiss	Q112153
Franz Karl Ginzkey	Q112588
Marlen Haushofer	Q112929
Alexander Lernet-Holenia	Q112214
Egon Friedell	Q112255
Sadiq Jalal al-Azm	Q113020
Enrica von Handel-Mazzetti	Q112388
Karl Bruckner	Q112554
Cornelius von Ayrenhoff	Q112838
Christoph Ransmayr	Q113022
Zofka Kveder	Q112919
Ewald Gerhard Seeliger	Q112463
Frank Schirrmacher	Q112835
Thomas Glavinic	Q112772
John Money	Q625794
Thomas Gunzig	Q613537
Abdulla Qodiriy	Q2427335
Timothy Shay Arthur	Q2435319
Thomas Perry	Q2426488
Jan Parandowski	Q616735
Toby Johnson	Q2438215
Aleksandrs Grīns	Q620376
N. K. Jemisin	Q2427544
Tor Nørretranders	Q610689
Der von Kürenberg	Q615613
Francine Prose	Q2427599
Charles Bock	Q2454262
Pat Conroy	Q2451348
Daniel Wallace	Q2465776
Steve Alten	Q2442559
Trilochan Shastri	Q2453338
Lúcio Cardoso	Q2461189
Karen Miller	Q2477472
Shūsei Tokuda	Q2439027
John Van der Kiste	Q2447358
João Almino	Q2468229
Zaharia Stancu	Q2468239
Chantal Thomas	Q2471163
Lisa Kleypas	Q2468256
Jennifer Rowe	Q2460840
Bob Hope	Q94081
Jane Johnson	Q95092
Justin Green	Q1841239
Bernhard von Wüllerstorf-Urbair	Q93968
Maeve Brennan	Q1883652
Robert Reed	Q1857523
Mack Reynolds	Q1849325
Guido von List	Q94040
Wayne G. Hammond	Q95087
Loren L. Coleman	Q1869989
Erwin Guido Kolbenheyer	Q94287
Heinrich Hüttenbrenner	Q94315
Noreena Hertz	Q94555
Luke Rhinehart	Q1855263
René Guillot	Q94246
Luis Goytisolo	Q1876447
Hermann Bahr	Q94034
William Caxton	Q94608
V. S. Pritchett	Q1885875
L. P. Davies	Q94054
August Fournier	Q94486
Shirley MacLaine	Q95026
Dominique Rolin	Q1841327
Luis Alberto Urrea	Q1876315
Maja Haderlap	Q93959
Henri Bachelin	Q1876788
Udo Di Fabio	Q103075
Frederick Rolfe	Q1289140
Konrad Hansen	Q102696
Norbert Horst	Q102908
Boethius	Q102851
Johannes Trojan	Q102568
Tim O'Brien	Q1289151
Tanja Langer	Q102564
Reinhold Heidenstein	Q103074
Ralf Bönt	Q102894
Michael Rutschky	Q102645
Robert Wilson	Q2001395
Nick Harkaway	Q1985398
Simon Mawer	Q2000797
William Horwood	Q2005408
Nigel Williams	Q1989624
Shane Stevens	Q1998010
Gerald Kersh	Q1995154
Stan Barstow	Q2013237
James Gleick	Q113105
Christopher Golden	Q1995311
Tawfiq al-Hakim	Q2019161
John L. Parker	Q2006966
Scott Frost	Q2018023
Nigel Cox	Q1989531
Robert L. Forward	Q2000229
Jeanne DuPrau	Q2009881
Steph Swainston	Q2016662
Joanna Trollope	Q1997988
Cyriel Buysse	Q628124
Henry Lionel Lawrence	Q639253
Kjell Askildsen	Q721753
Just Knud Qvigstad	Q629726
David Lerner	Q650387
Andrij Bondar	Q651264
August Sedláček	Q722409
Jean de Brunhoff	Q636357
Johann Moritz Rugendas	Q652305
Stefan Grabiński	Q721032
Johannes Bureus	Q633094
Petar Zoranić	Q633915
Wojciech Żukrowski	Q720868
Isaac ben Moses of Vienna	Q647348
Mourid Barghouti	Q654082
Howard Barker	Q721372
Marcel Theroux	Q2512714
Mary Mapes Dodge	Q2518093
Melvin Van Peebles	Q2531955
W. E. B. Griffin	Q2536700
Jeffrey Ford	Q2495863
Katherine Neville	Q2503610
Júlio César de Mello e Souza	Q2520014
Leo Buscaglia	Q2535504
Carl Richard Jacobi	Q2503902
Ben Mezrich	Q2481000
John Antoine Nau	Q2503071
Vardis Fisher	Q2510607
Benjamin Tammuz	Q2529115
Catherine Crowe	Q2537956
Yū Nagashima	Q2484916
Ellen Wood	Q2493772
Marc Laidlaw	Q2521946
Rosalind Miles	Q2493820
Charles McCarry	Q2489779
Jack Schaefer	Q2497235
Kenji Kamiyama	Q2518786
Catherine Banner	Q2490518
Vincent Starrett	Q2526744
Deborah Harkness	Q2541295
Wally Lamb	Q2543147
Walter Karig	Q2545012
Ron Rash	Q2491621
Walter H. Hunt	Q2544571
August Stöber	Q95291
Thomas Hope	Q1308730
Karen Duve	Q95207
Edward D. Hoch	Q1292004
Terry Carr	Q1292432
Brian Sibley	Q95127
Brigitte Reimann	Q95231
Edward Stratemeyer	Q1293795
Edward L. Beach, Jr.	Q1292826
Richard P. Powell	Q1307719
Lloyd C. Douglas	Q1318617
Christina Scull	Q95113
Eileen Wilks	Q1303988
Ikki Kajiwara	Q1319237
Guy Gavriel Kay	Q95099
Edward Streeter	Q1293793
Louis-Philippe Dalembert	Q1315386
Aniela Jaffé	Q95166
Karlheinz Steinmüller	Q95255
Robert Drewe	Q1303498
John Fox	Q1700099
Mell Lazarus	Q1695815
John Lutz	Q1700895
John Myers Myers	Q1701182
John O'Brien	Q1701277
John Sandford	Q1701679
Jill Paton Walsh	Q1688997
